cif,formula,energy,formation_energy,formation_energy_per_atom,uid
Ca1I2_164_2849.vasp,Ca1I2,-3.60511581,-3.77846821,-1.2594894033333337,2849
Ca1I2_187_2850.vasp,Ca1I2,-3.28770999,-3.4610623900000004,-1.1536874633333334,2850
Ca1In1I2_1_2851.vasp,Ca1In1I2,-2.65305712,-1.5139721600000002,-0.37849304,2851
Ca1In1S1Br3_1_2852.vasp,Ca1In1S1Br3,-10.51377418,-7.50252762,-1.25042127,2852
Ca1In2N2_164_2853.vasp,Ca1In2N2,-15.72614633,-6.87876026,-1.375752052,2853
Ca1Mg1Mn1Br2N1O1_8_2854.vasp,Ca1Mg1Mn1Br2N1O1,-21.0838038,-15.743859475681816,-2.2491227822402595,2854
Ca1Mn1I2O1_1_2855.vasp,Ca1Mn1I2O1,-10.54717072,-8.72323405318182,-1.744646810636364,2855
Ca1Mn1Sn1Cl1O4_25_2856.vasp,Ca1Mn1Sn1Cl1O4,-31.06454525,-24.671522520111164,-3.0839403150138955,2856
Ca1N2O6_21_2857.vasp,Ca1N2O6,-42.29552445,-29.38888182,-3.265431313333333,2857
Ca1Nb1I1Br1O1_6_2858.vasp,Ca1Nb1I1Br1O1,-15.66183714,-8.879124857499999,-1.7758249714999998,2858
Ca1Nb2N2Cl2_8_2859.vasp,Ca1Nb2N2Cl2,-34.65659308,-17.34708344125,-2.4781547773214285,2859
Ca1Nb2O7_123_2860.vasp,Ca1Nb2O7,-58.07604906,-38.75160530000001,-3.875160530000001,2860
Ca1Nb2S7_123_2861.vasp,Ca1Nb2S7,-37.46250448,-17.0579477525,-1.7057947752499998,2861
Ca1O2_123_2864.vasp,Ca1O2,-11.90855706,-9.22669174,-3.075563913333333,2864
Ca1O2F2_164_2863.vasp,Ca1O2F2,-12.54124628,-10.12248606,-2.024497212,2863
Ca1Pb1I2O2_1_2865.vasp,Ca1Pb1I2O2,-14.07112817,-11.05710355,-1.8428505916666669,2865
Ca1Pb1I4_10_2866.vasp,Ca1Pb1I4,-5.51217104,-5.35336414,-0.8922273566666666,2866
Ca1Pb1S1Br2O1_1_2867.vasp,Ca1Pb1S1Br2O1,-12.64047062,-8.860527582500001,-1.4767545970833336,2867
Ca1Pb1S1Cl1_1_2868.vasp,Ca1Pb1S1Cl1,-7.1903622,-4.501619023125,-1.12540475578125,2868
Ca1Pb2_164_2869.vasp,Ca1Pb2,-1.07650244,1.29598564,0.4319952133333333,2869
Ca1S1Br2_8_2871.vasp,Ca1S1Br2,-6.66252563,-4.955937732500001,-1.2389844331250002,2871
Ca1S2_115_2874.vasp,Ca1S2,-5.46225759,-2.471788565,-0.8239295216666666,2874
Ca1S2F2_12_2872.vasp,Ca1S2F2,-11.25285667,-8.525492745,-1.705098549,2872
Ca1Sb2O5_1_2875.vasp,Ca1Sb2O5,-33.40627343,-25.27410002,-3.1592625025,2875
Ca1Sb2O5_38_2876.vasp,Ca1Sb2O5,-32.76756412,-24.635390710000003,-3.0794238387500004,2876
Ca1Sb4O8_6_2877.vasp,Ca1Sb4O8,-54.35504498,-40.77256348,-3.136351036923077,2877
Ca1Se2_115_2879.vasp,Ca1Se2,-4.9311866,-0.96330686,-0.3211022866666666,2879
Ca1Se2F2_1_2878.vasp,Ca1Se2F2,-9.54007016,-5.835295520000001,-1.1670591040000002,2878
Ca1Si1Te1Cl3_1_2880.vasp,Ca1Si1Te1Cl3,-12.64576275,-8.692592816874999,-1.4487654694791663,2880
Ca1Si2_164_2881.vasp,Ca1Si2,-5.61592116,-0.6086516900000003,-0.2028838966666667,2881
Ca1Si3Ir1_99_2882.vasp,Ca1Si3Ir1,-15.11644055,-6.52810208,-1.305620416,2882
Ca1Sn1S3_25_2883.vasp,Ca1Sn1S3,-12.47302549,-7.621650893804347,-1.5243301787608694,2883
Ca1Sn1Te1Br1_99_2884.vasp,Ca1Sn1Te1Br1,-5.09886288,-2.859407633804348,-0.714851908451087,2884
